Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Aakhri Ghulam,1989.0,171.0,29,4.9,34.0,2617,1305,Sonam,Anupam Kher
Aakhri Goli,1977.0,0.0,1,4.8,18.0,2617,2263,Leena Chandavarkar,Farida Jalal
Aakhri Insaaf,1980.0,0.0,74,4.9,10.0,1204,1305,Vijayendra Ghatge,Ashok Kumar
Aakhri Inteqam,2002.0,0.0,1,2.5,16.0,2071,2232,Anu Kashyap,Amit Pachori
Aakhri Kasam,1979.0,126.0,84,6.3,7.0,732,1751,Vinod Mehra,Yogeeta Bali
Aakhri Khat,1966.0,153.0,269,6.9,122.0,592,1703,Indrani Mukherjee,Master Bunty
Aakhri Sangam,1990.0,160.0,77,7.3,39.0,1632,1408,Nirosha,Aurn Pandian
Aakhri Sanghursh,1997.0,138.0,1,2.8,17.0,1671,2452,Kaajal Kiran,Mukesh Khanna
Aakraman,1975.0,139.0,305,6.3,44.0,1012,377,Sanjeev Kumar,Rakesh Roshan
Aakrosh,1980.0,144.0,222,7.9,887.0,862,1406,Smita Patil,Amrish Puri
Aakrosh,2010.0,115.0,38,7.0,3464.0,1925,109,Akshaye Khanna,Bipasha Basu
Aakrosh: Cyclone of Anger,1998.0,0.0,29,4.6,93.0,1371,2267,Shilpa Shetty Kundra,Girish Karnad
Aalaap,2012.0,116.0,424,5.4,26.0,1470,1498,Pitobash,Amit Purohit
Aalavandhan,2001.0,177.0,84,7.2,2192.0,2830,983,Raveena Tandon,Manisha Koirala
Aalwar,2007.0,152.0,1,3.0,922.0,590,127,Asin Thottumkal,Vivek
Aamaar Bhuvan,2018.0,107.0,282,7.7,72.0,1595,2001,Nandita Das,Koushik Sen
Aamdani Atthanni Kharcha Rupaiya,2001.0,150.0,173,4.8,1238.0,1157,6,Govinda,Juhi Chawla
Aamir,2008.0,99.0,29,7.7,10862.0,2015,1694,Aishwarya,Vasan Bala
Aamne - Saamne,1967.0,163.0,236,6.5,81.0,2820,2083,Sharmila Tagore,Prem Chopra
Aamne Samne,1982.0,143.0,29,6.4,53.0,357,1305,Bindiya Goswami,Arti Gupta
Aamras: The Sweet Taste of Friendship,2009.0,0.0,269,5.8,60.0,2302,2427,Ntasha Bhardwaj,Maanvi Gagroo
Aan Aur Shaan,1984.0,130.0,269,6.4,37.0,2226,1836,Moushumi Chatterjee,Shammi Kapoor
Aan Baan,1972.0,0.0,269,6.1,28.0,1868,1696,Rakhee Gulzar,Kumkum
Aan Baan,1956.0,0.0,409,2.8,5.0,612,119,Nalini Jaywant,Mahipal
Aan Milo Sajna,1970.0,177.0,320,6.4,211.0,1608,1703,Asha Parekh,Vinod Khanna
Aan: Men at Work,2004.0,149.0,29,5.7,2907.0,1413,146,Shatrughan Sinha,Sunil Shetty
Aanch,2003.0,160.0,269,5.6,102.0,2085,344,Suchindra Bali,Poonam Jhawer
Aanchal,1980.0,138.0,43,6.4,58.0,255,1703,Rakhee Gulzar,Rekha
Aanchal,1960.0,0.0,282,4.9,8.0,2976,377,Nirupa Roy,Nanda
Aanchal Ke Phool,1968.0,0.0,269,5.7,6.0,1258,1933,Kamini Kaushal,Dev Dutt
Aandhi,1975.0,133.0,327,8.1,1406.0,870,2230,Sanjeev Kumar,Om Shivpuri
Aandhi Aur Toofan,1964.0,0.0,13,6.0,8.0,1558,576,Mumtaz,Kamran
Aandhi-Toofan,1985.0,144.0,269,6.1,49.0,454,2083,Hema Malini,Danny Denzongpa
Aandhiyan,1952.0,136.0,269,7.4,30.0,592,617,Nimmi,Kalpana Kartik
Aandhiyan,1990.0,145.0,269,4.8,38.0,630,1358,Prasenjit Chatterjee,Madhushree
Aangan,1959.0,0.0,375,6.6,31.0,1741,90,Ameeta,Rehman
Aangan Ki Kali,1979.0,0.0,282,5.6,5.0,924,1735,Lakshmi,Prema Narayan
Aani Maani,2019.0,94.0,269,6.6,15.0,763,710,Priyanka Verma,Neha Singh
Aankh Micholi,1972.0,0.0,339,6.0,6.0,2169,1735,Bharti,Om Prakash
